Rk,Name,Age,Tm,Lg,G,GS,CG,IP,Rtot/yr,Rdrs/yr,Position
1,J.T. Realmuto,32,PHI,NL,133,130,122,1142,11,-4,C
2,Cal Raleigh,26,SEA,AL,128,114,111,1038,5,2,C
3,Shea Langeliers,25,OAK,AL,123,116,114,1028,0,-15,C
4,Keibert Ruiz,24,WSN,NL,117,116,113,1014.2,-9,-17,C
5,Martín Maldonado,36,HOU,AL,116,116,93,1006.2,-6,-12,C
6,Elías Díaz,32,COL,NL,126,116,106,1004.2,5,-19,C
7,Jonah Heim,28,TEX,AL,124,116,94,993.1,11,7,C
8,Will Smith,28,LAD,NL,111,106,105,959,2,15,C
9,Connor Wong,27,BOS,AL,121,105,90,944,0,5,C
10,William Contreras,25,MIL,NL,108,108,104,942.2,-4,6,C
11,Adley Rutschman,25,BAL,AL,110,104,97,934.2,4,3,C
12,Francisco Álvarez,21,NYM,NL,108,100,90,873.2,-13,10,C
13,Sean Murphy,28,ATL,NL,102,98,93,866,2,11,C
14,Gabriel Moreno,23,ARI,NL,104,94,93,854,20,28,C
15,Jake Rogers,28,DET,AL,99,94,89,832.1,7,1,C
16,Yan Gomes,35,CHC,NL,103,92,83,821.2,9,-3,C
17,Christian Bethancourt,31,TBR,AL,102,89,74,797.2,1,0,C
18,Christian Vázquez,32,MIN,AL,94,91,80,793,3,5,C
19,Alejandro Kirk,24,TOR,AL,99,84,74,775,5,26,C
20,Nick Fortes,26,MIA,NL,104,85,80,774,-2,8,C
21,Patrick Bailey,24,SFG,NL,94,84,82,765.2,9,20,C
22,Willson Contreras,31,STL,NL,97,89,81,764,0,-13,C
23,Salvador Pérez,33,KCR,AL,91,90,75,738.1,2,-18,C
24,Tyler Stephenson,26,CIN,NL,92,78,72,703,1,-19,C
25,Yasmani Grandal,34,CHW,AL,92,79,59,681,-11,-19,C
26,Jacob Stallings,33,MIA,NL,82,77,58,661.1,0,0,C
27,Ryan Jeffers,26,MIN,AL,82,71,68,658.1,6,2,C
28,Kyle Higashioka,33,NYY,AL,90,71,58,642,-5,2,C
29,Matt Thaiss,28,LAA,AL,82,64,53,584,0,-6,C
30,Danny Jansen,28,TOR,AL,73,65,58,576.2,2,-4,C
31,Austin Hedges,30,TOT,MLB,80,66,44,567,-1,23,C
32,Andrew Knizner,28,STL,NL,68,63,49,565,-6,-6,C
33,Travis d'Arnaud,34,ATL,NL,63,59,56,530,-9,0,C
34,Gary Sánchez,30,TOT,MLB,66,58,54,526.2,5,15,C
35,Bo Naylor,23,CLE,AL,67,55,52,505.2,-4,-5,C
36,Seby Zavala,29,TOT,MLB,71,56,42,501.2,-7,14,C
37,Luke Maile,32,CIN,NL,71,57,37,500.1,-1,2,C
38,Víctor Caratini,29,MIL,NL,58,54,54,500.1,-3,0,C
39,Freddy Fermin,28,KCR,AL,65,54,53,499.2,11,19,C
40,Eric Haase,30,TOT,MLB,60,55,49,494,0,9,C
41,Jason Delay,28,PIT,NL,68,53,46,484,-15,5,C
42,James McCann,33,BAL,AL,59,54,47,479,9,3,C
43,Austin Barnes,33,LAD,NL,53,52,46,452.1,-17,-5,C
44,Reese McGuire,28,BOS,AL,62,51,39,433.1,2,-8,C
45,Jose Trevino,30,NYY,AL,54,49,38,427.1,13,20,C
46,Logan O'Hoppe,23,LAA,AL,49,48,47,425.1,-4,-25,C
47,Cam Gallagher,30,CLE,AL,56,53,27,420.1,0,20,C
48,Chad Wallach,31,LAA,AL,59,49,32,414.1,2,0,C
49,Endy Rodríguez,23,PIT,NL,52,45,44,410,1,9,C
50,Yainer Diaz,24,HOU,AL,60,42,42,399,11,12,C
51,Blake Sabol,25,SFG,NL,55,46,33,393.1,-26,-21,C
52,Austin Nola,33,SDP,NL,52,45,32,387,-1,-9,C
53,Francisco Mejía,27,TBR,AL,50,42,39,381,-10,-13,C
54,Carson Kelly,28,TOT,MLB,47,44,36,379,13,3,C
55,Austin Wynns,32,TOT,MLB,51,42,34,374.1,13,12,C
56,Omar Narváez,31,NYM,NL,47,40,34,352.2,-11,0,C
57,Tom Murphy,32,SEA,AL,41,41,32,351.1,-7,-14,C
58,Mike Zunino,32,CLE,AL,42,41,28,339.2,-15,-18,C
59,Riley Adams,27,WSN,NL,40,38,36,336.2,0,-14,C
60,Luis Campusano,24,SDP,NL,42,37,34,325.1,-10,-11,C
61,Tucker Barnhart,32,CHC,NL,42,37,25,312.2,-6,0,C
62,José Herrera,26,ARI,NL,40,36,26,307.1,-1,-23,C
63,Garrett Stubbs,30,PHI,NL,40,32,29,300.1,-6,-4,C
64,Miguel Amaya,24,CHC,NL,41,33,26,295,-18,-4,C
65,René Pinto,26,TBR,AL,38,31,21,263.1,-13,0,C
66,Carlos Pérez,32,OAK,AL,31,29,27,255,5,-5,C
67,Curt Casali,34,CIN,NL,38,27,16,236,12,15,C
68,Mitch Garver,32,TEX,AL,28,27,20,230,1,-21,C
69,Joey Bart,26,SFG,NL,30,26,21,230,-3,-5,C
70,Brett Sullivan,29,SDP,NL,31,24,18,220,5,-5,C
71,Ben Rortvedt,25,NYY,AL,31,24,16,212.1,11,11,C
1,Matt Olson,29,ATL,NL,162,162,159,1426,5,8,1B
2,Nathaniel Lowe,27,TEX,AL,161,161,152,1409.1,8,3,1B
3,Freddie Freeman,33,LAD,NL,161,161,139,1378.1,3,-9,1B
4,Spencer Torkelson,23,DET,AL,154,154,151,1366.1,-7,-11,1B
5,Ty France,28,SEA,AL,158,154,144,1360,-9,-7,1B
6,Christian Walker,32,ARI,NL,152,150,142,1309.1,-2,9,1B
7,Pete Alonso,28,NYM,NL,144,144,142,1256.2,9,6,1B
8,Dominic Smith,28,WSN,NL,151,140,134,1244.2,12,5,1B
9,Andrew Vaughn,25,CHW,AL,143,139,132,1229.1,-2,0,1B
10,José Abreu,36,HOU,AL,134,134,128,1184,-2,-1,1B
11,Paul Goldschmidt,35,STL,NL,133,133,120,1153.1,1,3,1B
12,Carlos Santana,37,TOT,MLB,135,134,115,1152.2,12,11,1B
13,Vladimir Guerrero Jr.,24,TOR,AL,121,120,115,1065,-4,-6,1B
14,Triston Casas,23,BOS,AL,125,115,105,1037,-3,-4,1B
15,Yandy Díaz,31,TBR,AL,118,116,97,986.1,2,0,1B
16,Ryan Noda,27,OAK,AL,119,106,88,935,-5,0,1B
17,LaMonte Wade Jr.,29,SFG,NL,116,104,80,887.2,-5,0,1B
18,Jake Cronenworth,29,SDP,NL,106,94,87,844,0,1,1B
19,Anthony Rizzo,33,NYY,AL,92,92,87,809.2,6,3,1B
20,Ryan Mountcastle,26,BAL,AL,90,86,79,769.1,9,2,1B
21,Josh Naylor,26,CLE,AL,91,87,73,760.2,5,0,1B
22,Yuli Gurriel,39,MIA,NL,93,71,70,671.1,1,-1,1B
23,Garrett Cooper,32,TOT,MLB,82,74,68,651,-3,1,1B
24,Rowdy Tellez,28,MIL,NL,76,62,51,570,1,0,1B
25,Nick Pratto,24,KCR,AL,78,64,60,565.2,3,-6,1B
26,Donovan Solano,35,MIN,AL,85,64,31,558.2,-11,-2,1B
27,Alec Bohm,26,PHI,NL,80,59,51,553,-3,-2,1B
28,Ryan O'Hearn,29,BAL,AL,70,59,46,519,-2,-2,1B
29,Alex Kirilloff,25,MIN,AL,75,58,41,510,-18,-8,1B
30,C.J. Cron,33,TOT,MLB,61,59,52,502,-4,0,1B
31,Spencer Steer,25,CIN,NL,73,53,49,501,-9,-1,1B
32,Josh Bell,30,TOT,MLB,60,59,30,485,-1,-5,1B
33,Elehuris Montero,24,COL,NL,55,53,51,464.2,-11,3,1B
34,DJ LeMahieu,34,NYY,AL,56,50,47,457.2,-4,2,1B
35,Cody Bellinger,27,CHC,NL,59,44,38,421.2,4,5,1B
36,Wilmer Flores,31,SFG,NL,61,45,35,415,18,6,1B
37,Joey Votto,39,CIN,NL,47,44,32,374,-2,-5,1B
38,Vinnie Pasquantino,25,KCR,AL,44,43,35,363.2,-7,-3,1B
39,Trey Mancini,31,CHC,NL,51,40,31,348.2,5,-3,1B
40,Connor Joe,30,PIT,NL,53,38,24,343.2,2,-2,1B
41,Mike Moustakas,34,TOT,MLB,50,37,29,341.2,-6,3,1B
42,Joey Gallo,29,MIN,AL,51,36,23,322,2,0,1B
43,Kody Clemens,27,PHI,NL,39,35,28,309.1,8,2,1B
44,Bryce Harper,30,PHI,NL,36,36,33,303,-1,1,1B
45,Alfonso Rivas,26,TOT,MLB,47,32,27,298.2,14,2,1B
46,Brandon Drury,30,LAA,AL,47,32,21,291,-15,-1,1B
47,Justin Turner,38,BOS,AL,41,35,26,289.1,-1,3,1B
48,Christian Encarnacion-Strand,23,CIN,NL,35,32,23,270,-2,0,1B
49,Nolan Schanuel,21,LAA,AL,28,28,25,244,-8,-2,1B
50,Brandon Belt,35,TOR,AL,29,28,21,242.2,-6,-2,1B
51,Luke Raley,28,TBR,AL,35,25,19,233,1,-1,1B
52,Matt Mervis,25,CHC,NL,27,26,22,226.1,6,2,1B
53,Kole Calhoun,35,CLE,AL,25,25,20,216.2,2,1,1B
54,Owen Miller,26,MIL,NL,35,22,18,209.2,11,1,1B
1,Marcus Semien,32,TEX,AL,162,162,150,1406.1,6,16,2B
2,Ozzie Albies,26,ATL,NL,148,148,146,1314,6,0,2B
3,Andrés Giménez,24,CLE,AL,150,146,142,1308,14,23,2B
4,Bryson Stott,25,PHI,NL,149,144,143,1294.1,4,6,2B
5,Gleyber Torres,26,NYY,AL,145,141,138,1255.2,8,-4,2B
6,Ketel Marte,29,ARI,NL,145,139,127,1210.1,-5,2,2B
7,Nico Hoerner,26,CHC,NL,135,134,122,1167,0,12,2B
8,Luis Arráez,26,MIA,NL,134,129,114,1124,6,4,2B
9,Luis García Jr.,23,WSN,NL,121,112,108,996.1,-13,-6,2B
10,Adam Frazier,31,BAL,AL,130,106,83,948.2,-9,-4,2B
11,Brice Turang,23,MIL,NL,119,103,87,917,7,12,2B
12,Michael Massey,25,KCR,AL,118,104,90,906,-8,-9,2B
13,Jonathan India,26,CIN,NL,104,103,90,893.1,-7,-7,2B
14,Brandon Lowe,28,TBR,AL,105,98,88,863.1,2,-5,2B
15,Thairo Estrada,27,SFG,NL,102,98,89,857,8,1,2B
16,Ha-Seong Kim,27,SDP,NL,106,98,88,856.2,10,10,2B
17,Jeff McNeil,31,NYM,NL,107,94,82,824,-3,-3,2B
18,José Altuve,33,HOU,AL,87,87,72,735.2,-8,-13,2B
19,Brandon Drury,30,LAA,AL,92,81,65,700.2,-9,-1,2B
20,Mauricio Dubón,28,HOU,AL,79,66,64,616.2,7,5,2B
21,Miguel Vargas,23,LAD,NL,78,69,63,613.2,-4,-5,2B
22,Zack Gelof,23,OAK,AL,69,69,69,601.2,-4,0,2B
23,Whit Merrifield,34,TOR,AL,84,67,53,595.1,-5,-4,2B
24,Nolan Gorman,23,STL,NL,75,67,60,579.2,4,-2,2B
25,Kolten Wong,32,TOT,MLB,76,60,52,558.1,-7,-3,2B
26,Andy Ibáñez,30,DET,AL,77,64,37,545.2,11,4,2B
27,Edouard Julien,24,MIN,AL,75,66,37,535,-11,-3,2B
28,Elvis Andrus,34,CHW,AL,63,60,47,499.2,-11,0,2B
29,Mookie Betts,30,LAD,NL,70,62,27,485,14,6,2B
30,Harold Castro,29,COL,NL,68,56,39,471.1,3,-2,2B
31,Jorge Polanco,29,MIN,AL,58,54,46,468.1,-1,1,2B
32,José Caballero,26,SEA,AL,64,53,42,467,15,7,2B
33,Ji Hwan Bae,23,PIT,NL,64,56,32,465.1,-17,-6,2B
34,Christian Arroyo,28,BOS,AL,62,51,40,442,13,2,2B
35,Luis Rengifo,26,LAA,AL,65,49,30,440,-10,-3,2B
36,Tony Kemp,31,OAK,AL,57,46,40,410,-22,-9,2B
37,Tommy Edman,28,STL,NL,51,40,34,373.2,0,-1,2B
38,Brendan Rodgers,26,COL,NL,43,43,43,372.2,-3,-1,2B
39,Josh Rojas,29,TOT,MLB,49,44,26,362.1,-4,0,2B
40,Enmanuel Valdez,24,BOS,AL,47,44,27,357,5,-6,2B
41,Cavan Biggio,28,TOR,AL,49,38,30,354,-11,-3,2B
42,Lenyn Sosa,23,CHW,AL,44,39,34,347.2,-2,-4,2B
43,Alan Trejo,27,COL,NL,49,37,24,333,4,2,2B
44,Jordan Westburg,24,BAL,AL,50,35,21,324,23,3,2B
45,Nicky Lopez,28,TOT,MLB,49,34,29,309,3,4,2B
46,Santiago Espinal,28,TOR,AL,47,34,23,304.2,-6,-1,2B
47,Matt McLain,23,CIN,NL,37,33,31,296,5,0,2B
48,Taylor Walls,26,TBR,AL,37,33,26,291.2,9,2,2B
49,Luis Urías,26,TOT,MLB,39,31,25,273.2,-22,-3,2B
50,Zach McKinstry,28,DET,AL,47,34,13,272,2,1,2B
51,Brendan Donovan,26,STL,NL,34,30,24,262,-17,-4,2B
52,Zack Short,28,DET,AL,53,25,15,262,11,4,2B
53,Jake Cronenworth,29,SDP,NL,35,30,21,261.1,12,1,2B
54,Zach Remillard,29,CHW,AL,34,28,25,260.2,-2,2,2B
55,Owen Miller,26,MIL,NL,42,29,15,251.1,9,-1,2B
56,Brett Wisely,24,SFG,NL,37,29,19,244.2,8,3,2B
57,Rodolfo Castro,24,TOT,MLB,45,24,17,233.2,-6,1,2B
58,Nick Gonzales,24,PIT,NL,29,25,23,230.2,-6,-1,2B
59,Kyle Farmer,32,MIN,AL,45,20,9,223,6,2,2B
60,Liover Peguero,22,PIT,NL,33,23,19,208.2,1,-4,2B
61,Luis Guillorme,28,NYM,NL,29,22,16,198.1,24,-1,2B
1,Alex Bregman,29,HOU,AL,160,160,153,1417.1,2,5,3B
2,Austin Riley,26,ATL,NL,159,159,158,1412,11,9,3B
3,Eugenio Suárez,31,SEA,AL,159,158,151,1401.1,1,-2,3B
4,Rafael Devers,26,BOS,AL,151,149,138,1293,-8,-9,3B
5,Matt Chapman,30,TOR,AL,137,137,132,1213.2,15,12,3B
6,José Ramírez,30,CLE,AL,125,125,118,1105,3,1,3B
7,Ryan McMahon,28,COL,NL,130,128,116,1103,7,17,3B
8,Nolan Arenado,32,STL,NL,128,128,114,1095.2,-12,1,3B
9,Max Muncy,32,LAD,NL,124,121,110,1052,-6,-3,3B
10,Josh Jung,25,TEX,AL,121,120,117,1050,13,0,3B
11,Ke'Bryan Hayes,26,PIT,NL,122,118,111,1037.2,19,21,3B
12,Jeimer Candelario,29,TOT,MLB,115,115,105,994,-1,-5,3B
13,Isaac Paredes,24,TBR,AL,116,109,86,933.1,-1,2,3B
14,Manny Machado,30,SDP,NL,105,105,100,919,7,4,3B
15,J.D. Davis,30,SFG,NL,116,105,91,915.2,-7,-11,3B
16,Maikel García,23,KCR,AL,104,100,92,859.2,2,-2,3B
17,Jake Burger,27,TOT,MLB,102,99,84,848,-15,-7,3B
18,Brett Baty,23,NYM,NL,100,94,80,808.2,-23,-5,3B
19,Jace Peterson,33,TOT,MLB,112,87,72,787,-13,-7,3B
20,Yoán Moncada,28,CHW,AL,90,87,82,761,7,-6,3B
21,Jean Segura,33,MIA,NL,84,83,77,720.1,-12,-9,3B
22,Alec Bohm,26,PHI,NL,90,80,58,686.1,-8,-10,3B
23,Ramón Urías,29,BAL,AL,92,73,58,663.1,4,0,3B
24,Gunnar Henderson,22,BAL,AL,84,68,47,594.2,1,3,3B
25,DJ LeMahieu,34,NYY,AL,69,67,62,592.2,-1,3,3B
26,Edmundo Sosa,27,PHI,NL,82,65,54,583,-2,-1,3B
27,Nick Madrigal,26,CHC,NL,72,61,55,560.1,18,8,3B
28,Eduardo Escobar,34,TOT,MLB,65,54,43,480.1,-15,-4,3B
29,Brian Anderson,30,MIL,NL,70,50,45,476.1,2,3,3B
30,Emmanuel Rivera,27,ARI,NL,65,54,38,470,2,2,3B
31,Patrick Wisdom,31,CHC,NL,61,54,45,460.2,6,-5,3B
32,Andruw Monasterio,26,MIL,NL,56,51,48,456.1,16,6,3B
33,Royce Lewis,24,MIN,AL,49,48,42,416.2,2,2,3B
34,Nick Senzel,28,CIN,NL,57,40,31,366,15,-2,3B
35,Josh Rojas,29,TOT,MLB,48,40,34,362.1,4,-2,3B
36,Anthony Rendon,33,LAA,AL,43,43,35,359.2,-13,-5,3B
37,Mike Moustakas,34,TOT,MLB,52,42,30,359,-5,-2,3B
38,Nick Maton,26,DET,AL,53,41,23,351,-32,-8,3B
39,Spencer Steer,25,CIN,NL,47,42,24,350.1,-17,-2,3B
40,Ildemaro Vargas,31,WSN,NL,45,37,32,332,15,4,3B
41,Josh Donaldson,37,TOT,MLB,38,38,32,322.1,14,2,3B
42,Jared Triolo,25,PIT,NL,35,35,34,309.1,25,4,3B
43,José Miranda,25,MIN,AL,38,35,29,305.1,1,0,3B
44,Jordan Diaz,22,OAK,AL,38,37,28,304.2,-39,-11,3B
45,Evan Longoria,37,ARI,NL,41,36,24,300,4,2,3B
46,Oswald Peraza,23,NYY,AL,36,33,33,300,4,0,3B
47,Kyle Farmer,32,MIN,AL,43,32,23,290,-1,1,3B
48,Zach McKinstry,28,DET,AL,52,29,18,289,6,0,3B
49,Jon Berti,33,MIA,NL,41,27,24,271,9,5,3B
50,Gio Urshela,31,LAA,AL,37,28,28,270,14,6,3B
51,Elly De La Cruz,21,CIN,NL,32,29,27,259,2,-1,3B
52,Aledmys Díaz,32,OAK,AL,40,28,17,254,-14,0,3B
53,Ha-Seong Kim,27,SDP,NL,32,29,26,253.1,9,3,3B
54,Taylor Walls,26,TBR,AL,39,26,20,246,33,6,3B
55,Isiah Kiner-Falefa,28,NYY,AL,31,26,25,240.1,14,3,3B
56,Casey Schmitt,24,SFG,NL,35,25,19,236,3,2,3B
57,Noelvi Marte,21,CIN,NL,29,26,26,234,-18,-1,3B
